Property_ID,Property,Community,Developer,Property_Type,Bedrooms,Price_AED,ROI,Rental_Yield,Expected_Appreciation,Risk
PID-00001,Vista Heights,Business Bay,Sobha Realty,Villa,2 BR,2343867,7.6%,8.1%,High,Low
PID-00002,Harbour Living,JVC,Binghatti,Apartment,3 BR,1854310,9.1%,8.0%,Medium,Medium
PID-00003,The Vista,JVC,Binghatti,Townhouse,Studio,682921,8.5%,7.6%,Medium,Medium
PID-00004,Royal Square,Dubai Marina,Danube,Apartment,Studio,3612555,7.9%,6.9%,High,Low
PID-00005,Infinity Point,Dubai Marina,Emaar,Villa,2 BR,3689054,8.6%,8.0%,High,Low
PID-00006,Azure Square,Business Bay,DAMAC,Villa,Studio,2923367,7.6%,6.5%,High,Low
PID-00007,Canal Residence,Dubai Marina,DAMAC,Townhouse,3 BR,4929382,8.9%,7.1%,High,Low
PID-00008,Royal Vista,Dubai Marina,DAMAC,Villa,Studio,3659445,8.9%,7.1%,High,Low
PID-00009,Grand Point,Business Bay,Sobha Realty,Townhouse,3 BR,3516297,7.9%,7.5%,High,Low
PID-00010,Royal One,Dubai Marina,Emaar,Apartment,4 BR,2967247,8.8%,7.2%,High,Low
PID-00011,Infinity View,JVC,Binghatti,Apartment,4 BR,778403,8.1%,8.2%,Medium,Medium
PID-00012,Vista Horizon,Business Bay,Binghatti,Townhouse,2 BR,4236891,7.5%,6.8%,High,Low
PID-00013,The Square,JVC,Emaar,Townhouse,1 BR,1904532,8.2%,7.6%,Medium,Medium
PID-00014,The Living,Business Bay,Sobha Realty,Townhouse,Studio,3864457,7.5%,6.6%,High,Low
PID-00015,Canal Collection,JVC,DAMAC,Apartment,3 BR,1860283,9.3%,8.6%,Medium,Medium
PID-00016,Azure Place,JVC,Emaar,Townhouse,1 BR,1135666,8.9%,8.5%,Medium,Medium
PID-00017,Skyline Residence,Business Bay,Sobha Realty,Apartment,1 BR,4146380,7.3%,7.9%,High,Low
PID-00018,Skyline Tower,JVC,Binghatti,Apartment,1 BR,957665,8.6%,8.5%,Medium,Medium
PID-00019,Marina Tower,Dubai Marina,Binghatti,Villa,1 BR,4225181,7.5%,6.9%,High,Low
PID-00020,Canal Square,Dubai Marina,Sobha Realty,Villa,Studio,2856157,7.2%,8.1%,High,Low
PID-00021,Infinity Living,Business Bay,Binghatti,Apartment,Studio,2829727,7.8%,7.6%,High,Low
PID-00022,Royal Point,Business Bay,Danube,Townhouse,2 BR,3542591,7.6%,7.0%,High,Low
PID-00023,Skyline Point,Dubai Marina,Emaar,Townhouse,2 BR,4727210,7.1%,7.4%,High,Low
PID-00024,The Tower,Business Bay,DAMAC,Villa,1 BR,3472606,8.4%,7.0%,High,Low
PID-00025,Royal Square,Dubai Marina,Sobha Realty,Townhouse,3 BR,2942412,8.3%,6.6%,High,Low
PID-00026,Canal Horizon,Business Bay,DAMAC,Apartment,2 BR,4314372,7.2%,7.1%,High,Low
PID-00027,Vista Point,Dubai Marina,Sobha Realty,Apartment,1 BR,4263492,8.6%,7.2%,High,Low
PID-00028,Harbour Residence,JVC,Emaar,Apartment,4 BR,1711194,9.5%,9.0%,Medium,Medium
PID-00029,Skyline Point,Business Bay,Danube,Apartment,4 BR,2655565,8.6%,8.0%,High,Low
PID-00030,Vista Collection,JVC,Emaar,Apartment,Studio,1519567,8.8%,9.0%,Medium,Medium
PID-00031,Infinity Vista,JVC,Binghatti,Villa,4 BR,1831070,9.6%,8.8%,Medium,Medium
PID-00032,Elite Square,Business Bay,Emaar,Apartment,Studio,2831533,8.5%,7.6%,High,Low
PID-00033,Marina Place,Business Bay,Binghatti,Apartment,3 BR,1318086,7.2%,7.4%,High,Low
PID-00034,Canal View,JVC,Emaar,Apartment,2 BR,1563603,8.9%,7.5%,Medium,Medium
PID-00035,Palm View,Business Bay,Danube,Villa,2 BR,4220484,7.6%,7.2%,High,Low
PID-00036,Harbour Tower,Dubai Marina,Sobha Realty,Apartment,1 BR,2717649,7.1%,7.1%,High,Low
PID-00037,Infinity Place,Dubai Marina,Binghatti,Apartment,2 BR,2426249,7.2%,7.6%,High,Low
PID-00038,Skyline Vista,JVC,Emaar,Villa,Studio,1262603,9.8%,8.7%,Medium,Medium
PID-00039,Vista Park,Dubai Marina,Danube,Villa,3 BR,1611189,8.5%,8.1%,High,Low
PID-00040,Harbour Vista,JVC,Danube,Apartment,2 BR,1350164,9.2%,8.1%,Medium,Medium
PID-00041,Park Gardens,JVC,DAMAC,Apartment,1 BR,1413451,8.7%,7.8%,Medium,Medium
PID-00042,Creek Residence,Business Bay,Sobha Realty,Townhouse,Studio,1658620,7.1%,7.5%,High,Low
PID-00043,Skyline Square,JVC,Sobha Realty,Apartment,1 BR,1820079,8.9%,8.8%,Medium,Medium
PID-00044,Elite Collection,Business Bay,Danube,Villa,1 BR,3796998,8.5%,7.1%,High,Low
